Constituency_No,Constituency_Name,Constituency_Type,Total_Electors,Candidate_S_No,Candidate_Name,Gender,Age,Category,Party,Symbol,General_Votes,Postal_Votes,Total_Votes,Percentage_of_Valid_Votes,Percentage_of_Total_Electors,Turnout_General,Turnout_Postal,Turnout_Total,Turnout_Percentage
14,SHALIMAR BAGH,GENERAL,194398,7,RINA DEVI,FEMALE,37,GENERAL,IND,Razor,252,0,252,0.22,0.13,113233,531,113764,58.52
14,SHALIMAR BAGH,GENERAL,194398,8,RAJESH KUMAR,MALE,52,GENERAL,IND,Sitar,143,0,143,0.13,0.07,113233,531,113764,58.52
14,SHALIMAR BAGH,GENERAL,194398,9,MOHD. USMAN,MALE,62,GENERAL,IND,Battery Torch,98,0,98,0.09,0.05,113233,531,113764,58.52
14,SHALIMAR BAGH,GENERAL,194398,10,RANJEET VERMA,MALE,42,GENERAL,NIUP,Water tank,35,0,35,0.03,0.02,113233,531,113764,58.52
15,SHAKUR BASTI,GENERAL,157011,1,KARNAIL SINGH,MALE,57,GENERAL,BJP,Lotus,56570,299,56869,57.07,36.22,99207,445,99652,63.47
15,SHAKUR BASTI,GENERAL,157011,2,SATYENDAR JAIN,MALE,60,GENERAL,AAAP,Broom,35775,96,35871,36,22.85,99207,445,99652,63.47
15,SHAKUR BASTI,GENERAL,157011,3,SATISH KUMAR LUTHRA,MALE,61,GENERAL,INC,Hand,5736,48,5784,5.8,3.68,99207,445,99652,63.47
15,SHAKUR BASTI,GENERAL,157011,4,NOTA,,,NOTA,NOTA,672,1,673,0.68,0.43,99207,445,99652,63.47
15,SHAKUR BASTI,GENERAL,157011,5,VIJAY KUMAR,MALE,31,GENERAL,BSP,Elephant,164,0,164,0.16,0.1,99207,445,99652,63.47
15,SHAKUR BASTI,GENERAL,157011,6,TAMANA,FEMALE,34,GENERAL,YBRP,Bat,115,0,115,0.12,0.07,99207,445,99652,63.47
15,SHAKUR BASTI,GENERAL,157011,7,RAJESH GUPTA,MALE,66,GENERAL,BLokSP,Electric pole,99,1,100,0.1,0.06,99207,445,99652,63.47
15,SHAKUR BASTI,GENERAL,157011,8,JUGAL CHAWLA,MALE,52,GENERAL,IND,Telephone,76,0,76,0.08,0.05,99207,445,99652,63.47
16,TRI NAGAR,GENERAL,177417,1,TILAK RAM GUPTA,MALE,73,GENERAL,BJP,Lotus,58836,237,59073,53.36,33.3,110324,373,110697,62.39
16,TRI NAGAR,GENERAL,177417,2,PREETI JITENDER TOMAR,FEMALE,55,GENERAL,AAAP,Broom,43083,94,43177,39,24.34,110324,373,110697,62.39
16,TRI NAGAR,GENERAL,177417,3,SATENDER SHARMA,MALE,60,GENERAL,INC,Hand,6867,30,6897,6.23,3.89,110324,373,110697,62.39
16,TRI NAGAR,GENERAL,177417,4,NOTA,,,NOTA,NOTA,682,6,688,0.62,0.39,110324,373,110697,62.39
16,TRI NAGAR,GENERAL,177417,5,PAWAN GARG,MALE,72,GENERAL,BSP,Elephant,562,4,566,0.51,0.32,110324,373,110697,62.39
16,TRI NAGAR,GENERAL,177417,6,SUBHASH,MALE,66,GENERAL,ASSP,Gas cylinder,180,1,181,0.16,0.1,110324,373,110697,62.39
16,TRI NAGAR,GENERAL,177417,7,SURENDRA SINGH BASOYA,MALE,48,GENERAL,PPID,Basket containing Fruits,114,1,115,0.1,0.06,110324,373,110697,62.39
17,WAZIRPUR,GENERAL,191145,1,POONAM SHARMA,FEMALE,40,GENERAL,BJP,Lotus,54414,307,54721,51.24,28.63,106340,448,106788,55.87
17,WAZIRPUR,GENERAL,191145,2,RAJESH GUPTA,MALE,46,GENERAL,AAAP,Broom,43194,102,43296,40.54,22.65,106340,448,106788,55.87
17,WAZIRPUR,GENERAL,191145,3,RAGINI NAYAK,FEMALE,42,GENERAL,INC,Hand,6311,37,6348,5.94,3.32,106340,448,106788,55.87
17,WAZIRPUR,GENERAL,191145,4,HIRA LAL,MALE,49,SC,BSP,Elephant,1046,1,1047,0.98,0.55,106340,448,106788,55.87
17,WAZIRPUR,GENERAL,191145,5,NOTA,,,NOTA,NOTA,652,0,652,0.61,0.34,106340,448,106788,55.87
17,WAZIRPUR,GENERAL,191145,6,AAKASH GOEL,MALE,40,GENERAL,IND,Laptop,233,1,234,0.22,0.12,106340,448,106788,55.87
17,WAZIRPUR,GENERAL,191145,7,DEVENDER KUMAR,MALE,70,GENERAL,CPI,Ears of corn and sickle,190,0,190,0.18,0.1,106340,448,106788,55.87
17,WAZIRPUR,GENERAL,191145,8,MUKESH JAIN,MALE,65,GENERAL,IND,Battery Torch,173,0,173,0.16,0.09,106340,448,106788,55.87
17,WAZIRPUR,GENERAL,191145,9,MAHESH BANSAL,MALE,67,GENERAL,RTORP,Pressure cooker,64,0,64,0.06,0.03,106340,448,106788,55.87
17,WAZIRPUR,GENERAL,191145,10,SHEELA DEVI,FEMALE,46,GENERAL,GEP,Nagrik,63,0,63,0.06,0.03,106340,448,106788,55.87
18,MODEL TOWN,GENERAL,179000,1,ASHOK GOEL,MALE,57,GENERAL,BJP,Lotus,51848,260,52108,54.1,29.11,95948,370,96318,53.81
18,MODEL TOWN,GENERAL,179000,2,AKHILESH PATI TRIPATHI,MALE,40,GENERAL,AAAP,Broom,38608,85,38693,40.17,21.62,95948,370,96318,53.81
18,MODEL TOWN,GENERAL,179000,3,KANWAR KARAN SINGH,MALE,68,GENERAL,INC,Hand,3886,22,3908,4.06,2.18,95948,370,96318,53.81
18,MODEL TOWN,GENERAL,179000,4,NOTA,,,NOTA,NOTA,682,3,685,0.71,0.38,95948,370,96318,53.81
18,MODEL TOWN,GENERAL,179000,5,CHUNNI LAL,MALE,50,SC,BSP,Elephant,372,0,372,0.39,0.21,95948,370,96318,53.81
18,MODEL TOWN,GENERAL,179000,6,ROMAN RASHID,MALE,33,GENERAL,IND,Razor,224,0,224,0.23,0.13,95948,370,96318,53.81
18,MODEL TOWN,GENERAL,179000,7,CHANDER PAL,MALE,42,SC,IND,Balloon,119,0,119,0.12,0.07,95948,370,96318,53.81
18,MODEL TOWN,GENERAL,179000,8,VIVEK GIRI,MALE,32,GENERAL,AAPP,Battery Torch,118,0,118,0.12,0.07,95948,370,96318,53.81
18,MODEL TOWN,GENERAL,179000,9,PANKAJ KUMAR,MALE,43,SC,RVNP,Air conditioner,58,0,58,0.06,0.03,95948,370,96318,53.81
18,MODEL TOWN,GENERAL,179000,10,AWDHESH KUMAR JHA,MALE,36,GENERAL,RTORP,Pressure cooker,33,0,33,0.03,0.02,95948,370,96318,53.81
19,SADAR BAZAR,GENERAL,195174,1,SOM DUTT,MALE,49,GENERAL,AAAP,Broom,56070,107,56177,47.45,28.78,118055,345,118400,60.66
19,SADAR BAZAR,GENERAL,195174,2,MANOJ KUMAR JINDAL,MALE,55,GENERAL,BJP,Lotus,49671,199,49870,42.12,25.55,118055,345,118400,60.66
19,SADAR BAZAR,GENERAL,195174,3,ANIL BHARDWAJ,MALE,58,GENERAL,INC,Hand,10022,35,10057,8.49,5.15,118055,345,118400,60.66
19,SADAR BAZAR,GENERAL,195174,4,SHAIL KUMARI,FEMALE,27,SC,BSP,Elephant,708,1,709,0.6,0.36,118055,345,118400,60.66
19,SADAR BAZAR,GENERAL,195174,5,NOTA,,,NOTA,NOTA,584,2,586,0.49,0.3,118055,345,118400,60.66
19,SADAR BAZAR,GENERAL,195174,6,MEENAKSHI KUMARI,FEMALE,48,SC,BHLBP,Dustbin,247,0,247,0.21,0.13,118055,345,118400,60.66
19,SADAR BAZAR,GENERAL,195174,7,MADHU BALA,FEMALE,41,SC,JMBP,Flute,213,0,213,0.18,0.11,118055,345,118400,60.66
19,SADAR BAZAR,GENERAL,195174,8,ASHA RANI,FEMALE,59,GENERAL,SUCI,Battery Torch,184,0,184,0.16,0.09,118055,345,118400,60.66
19,SADAR BAZAR,GENERAL,195174,9,ANITA BANSAL,FEMALE,57,GENERAL,ASSP,Gas cylinder,123,0,123,0.1,0.06,118055,345,118400,60.66
19,SADAR BAZAR,GENERAL,195174,10,CA SOHARSH GULGULIA JAIN,MALE,38,GENERAL,JTSP,Ship,100,0,100,0.08,0.05,118055,345,118400,60.66
19,SADAR BAZAR,GENERAL,195174,11,LAXMI THAKUR SINGHAL,FEMALE,52,GENERAL,ABHNVBHRTP,"Pen nib with seven rays",84,0,84,0.07,0.04,118055,345,118400,60.66
19,SADAR BAZAR,GENERAL,195174,12,UMESH RATHOR,MALE,55,GENERAL,ATBP,Batsman,49,1,50,0.04,0.03,118055,345,118400,60.66
20,CHANDNI CHOWK,GENERAL,126943,1,PUNARDEEP SINGH SAWHNEY (SABBY),MALE,44,GENERAL,AAAP,Broom,38932,61,38993,54.79,30.72,71019,154,71173,56.07
20,CHANDNI CHOWK,GENERAL,126943,2,SATISH JAIN,MALE,72,GENERAL,BJP,Lotus,22359,62,22421,31.5,17.66,71019,154,71173,56.07
20,CHANDNI CHOWK,GENERAL,126943,3,MUDIT AGARWAL,MALE,53,GENERAL,INC,Hand,9038,27,9065,12.74,7.14,71019,154,71173,56.07
20,CHANDNI CHOWK,GENERAL,126943,4,NOTA,,,NOTA,NOTA,249,4,253,0.36,0.2,71019,154,71173,56.07
20,CHANDNI CHOWK,GENERAL,126943,5,KALI CHARAN,MALE,57,SC,BSP,Elephant,246,0,246,0.35,0.19,71019,154,71173,56.07
20,CHANDNI CHOWK,GENERAL,126943,6,KHALID UR REHMAN,MALE,63,GENERAL,NCP,Clock,81,0,81,0.11,0.06,71019,154,71173,56.07
20,CHANDNI CHOWK,GENERAL,126943,7,RAHUL TIWARI,MALE,29,GENERAL,RTORP,Pressure cooker,69,0,69,0.1,0.05,71019,154,71173,56.07
20,CHANDNI CHOWK,GENERAL,126943,8,MOHAMMAD MURSALEEN,MALE,50,GENERAL,INSAF,Whistle,45,0,45,0.06,0.04,71019,154,71173,56.07
21,MATIA MAHAL,GENERAL,129536,1,AALEY MOHAMMED IQBAL,MALE,34,GENERAL,AAAP,Broom,58041,79,58120,68.8,44.87,84328,147,84475,65.21
21,MATIA MAHAL,GENERAL,129536,2,DEEPTI INDORA,FEMALE,42,SC,BJP,Lotus,15351,45,15396,18.23,11.89,84328,147,84475,65.21
21,MATIA MAHAL,GENERAL,129536,3,ASIM AHMED KHAN,MALE,48,GENERAL,INC,Hand,10274,21,10295,12.19,7.95,84328,147,84475,65.21
21,MATIA MAHAL,GENERAL,129536,4,NOTA,,,NOTA,NOTA,217,0,217,0.26,0.17,84328,147,84475,65.21
21,MATIA MAHAL,GENERAL,129536,5,TEJ RAM,MALE,57,SC,BSP,Elephant,129,1,130,0.15,0.1,84328,147,84475,65.21
21,MATIA MAHAL,GENERAL,129536,6,AMAR NATH,MALE,56,GENERAL,IND,Battery Torch,93,0,93,0.11,0.07,84328,147,84475,65.21
21,MATIA MAHAL,GENERAL,129536,7,MOHAMMAD AHMED SAIFI,MALE,64,GENERAL,IND,Saw,60,0,60,0.07,0.05,84328,147,84475,65.21
21,MATIA MAHAL,GENERAL,129536,8,MOHD JAVED,MALE,42,GENERAL,NCP,Clock,56,0,56,0.07,0.04,84328,147,84475,65.21
21,MATIA MAHAL,GENERAL,129536,9,BHAGWAN DASS,MALE,77,SC,IND,Bat,35,0,35,0.04,0.03,84328,147,84475,65.21
21,MATIA MAHAL,GENERAL,129536,10,FIRDOUS AHMAD,MALE,72,GENERAL,IND,Baby walker,31,0,31,0.04,0.02,84328,147,84475,65.21
21,MATIA MAHAL,GENERAL,129536,11,MOAZAM KHAN,MALE,42,GENERAL,IND,Camera,31,0,31,0.04,0.02,84328,147,84475,65.21
21,MATIA MAHAL,GENERAL,129536,12,ZAINUDDIN,MALE,47,GENERAL,IND,Air conditioner,10,1,11,0.01,0.01,84328,147,84475,65.21
22,BALLIMARAN,GENERAL,153571,1,IMRAN HUSSAIN,MALE,43,GENERAL,AAAP,Broom,56932,72,57004,58,37.12,98119,158,98277,63.99
22,BALLIMARAN,GENERAL,153571,2,KAMAL BAGRI,MALE,41,SC,BJP,Lotus,27119,62,27181,27.66,17.7,98119,158,98277,63.99
22,BALLIMARAN,GENERAL,153571,3,HAROON YUSUF,MALE,66,GENERAL,INC,Hand,13038,21,13059,13.29,8.5,98119,158,98277,63.99
22,BALLIMARAN,GENERAL,153571,4,NOTA,,,NOTA,NOTA,299,2,301,0.31,0.2,98119,158,98277,63.99
22,BALLIMARAN,GENERAL,153571,5,ABRAR,MALE,48,GENERAL,AADMPRVTNP,Battery Torch,224,0,224,0.23,0.15,98119,158,98277,63.99
22,BALLIMARAN,GENERAL,153571,6,SONU,MALE,45,SC,BSP,Elephant,190,0,190,0.19,0.12,98119,158,98277,63.99
22,BALLIMARAN,GENERAL,153571,7,BABU LAL,MALE,46,SC,IND,Flute,130,1,131,0.13,0.09,98119,158,98277,63.99
22,BALLIMARAN,GENERAL,153571,8,HANSA,FEMALE,46,SC,IND,School bag,77,0,77,0.08,0.05,98119,158,98277,63.99
22,BALLIMARAN,GENERAL,153571,9,MOHD. SHADAB,MALE,42,GENERAL,IND,Bat,72,0,72,0.07,0.05,98119,158,98277,63.99
22,BALLIMARAN,GENERAL,153571,10,MD HAROON,MALE,69,GENERAL,NCP,Clock,38,0,38,0.04,0.02,98119,158,98277,63.99
23,KAROL BAGH,SC,187987,1,VISHESH RAVI,MALE,41,SC,AAAP,Broom,52153,144,52297,50.88,27.82,102505,289,102794,54.68
23,KAROL BAGH,SC,187987,2,DUSHYANT GAUTAM,MALE,67,SC,BJP,Lotus,44750,117,44867,43.65,23.87,102505,289,102794,54.68
23,KAROL BAGH,SC,187987,3,RAHUL KUMAR,MALE,34,SC,INC,Hand,4232,20,4252,4.14,2.26,102505,289,102794,54.68
23,KAROL BAGH,SC,187987,4,RANJEET,MALE,49,SC,BSP,Elephant,624,2,626,0.61,0.33,102505,289,102794,54.68
23,KAROL BAGH,SC,187987,5,NOTA,,,NOTA,NOTA,543,5,548,0.53,0.29,102505,289,102794,54.68
23,KAROL BAGH,SC,187987,6,SHIV KUMAR,MALE,64,SC,RAM,Gas cylinder,116,0,116,0.11,0.06,102505,289,102794,54.68
23,KAROL BAGH,SC,187987,7,DEEPAK KUMAR,MALE,42,SC,IND,Camera,87,1,88,0.09,0.05,102505,289,102794,54.68
24,PATEL NAGAR,SC,201667,1,PRAVESH RATN,MALE,39,SC,AAAP,Broom,57408,104,57512,49,28.52,117026,344,117370,58.2
24,PATEL NAGAR,SC,201667,2,RAAJ KUMAR ANAND,MALE,58,SC,BJP,Lotus,53273,190,53463,45.55,26.51,117026,344,117370,58.2
24,PATEL NAGAR,SC,201667,3,KRISHNA TIRATH,FEMALE,69,SC,INC,Hand,4610,44,4654,3.97,2.31,117026,344,117370,58.2
24,PATEL NAGAR,SC,201667,4,NOTA,,,NOTA,NOTA,768,4,772,0.66,0.38,117026,344,117370,58.2
24,PATEL NAGAR,SC,201667,5,RAM AVTAR,MALE,57,SC,BSP,Elephant,712,2,714,0.61,0.35,117026,344,117370,58.2
24,PATEL NAGAR,SC,201667,6,ASHOK KUMAR,MALE,42,SC,ASPKR,Kettle,255,0,255,0.22,0.13,117026,344,117370,58.2
25,MOTI NAGAR,GENERAL,185619,1,HARISH KHURANA,MALE,50,GENERAL,BJP,Lotus,57364,201,57565,52.64,31.01,109055,306,109361,58.92
25,MOTI NAGAR,GENERAL,185619,2,SHIVCHARAN GOEL,MALE,63,GENERAL,AAAP,Broom,45827,81,45908,41.98,24.73,109055,306,109361,58.92
25,MOTI NAGAR,GENERAL,185619,3,RAJENDER SINGH,MALE,81,GENERAL,INC,Hand,3316,18,3334,3.05,1.8,109055,306,109361,58.92
25,MOTI NAGAR,GENERAL,185619,4,AVINASH GUPTA,MALE,50,GENERAL,BSP,Elephant,848,3,851,0.78,0.46,109055,306,109361,58.92
25,MOTI NAGAR,GENERAL,185619,5,NOTA,,,NOTA,NOTA,687,2,689,0.63,0.37,109055,306,109361,58.92
25,MOTI NAGAR,GENERAL,185619,6,SADRE ALAM,MALE,39,GENERAL,IND,Bat,415,1,416,0.38,0.22,109055,306,109361,58.92
25,MOTI NAGAR,GENERAL,185619,7,GAURI SHANKAR,MALE,50,GENERAL,IND,Battery Torch,170,0,170,0.16,0.09,109055,306,109361,58.92
25,MOTI NAGAR,GENERAL,185619,8,GOURAV BOTHRA,MALE,46,GENERAL,RTORP,Pressure cooker,124,0,124,0.11,0.07,109055,306,109361,58.92
25,MOTI NAGAR,GENERAL,185619,9,HARISH,MALE,46,GENERAL,IND,Cauliflower,76,0,76,0.07,0.04,109055,306,109361,58.92
25,MOTI NAGAR,GENERAL,185619,10,VISHAL SAHNI,MALE,57,GENERAL,VPI,Gas cylinder,70,0,70,0.06,0.04,109055,306,109361,58.92
25,MOTI NAGAR,GENERAL,185619,11,VIJAY KUMAR SHARMA,MALE,51,GENERAL,RSHTMNVP,Nagrik,63,0,63,0.06,0.03,109055,306,109361,58.92
25,MOTI NAGAR,GENERAL,185619,12,SANAULLAH,MALE,29,GENERAL,NCP,Clock,60,0,60,0.05,0.03,109055,306,109361,58.92
25,MOTI NAGAR,GENERAL,185619,13,MAHESH DUBEY,MALE,49,GENERAL,BHLBP,Dustbin,35,0,35,0.03,0.02,109055,306,109361,58.92
26,MADIPUR,SC,177913,1,KAILASH GANGWAL,MALE,53,SC,BJP,Lotus,51824,195,52019,46.08,29.24,112522,368,112890,63.45
26,MADIPUR,SC,177913,2,RAKHI BIRLA,FEMALE,37,SC,AAAP,Broom,41034,86,41120,36.42,23.11,112522,368,112890,63.45
26,MADIPUR,SC,177913,3,J. P. PANWAR,MALE,53,SC,INC,Hand,17878,80,17958,15.91,10.09,112522,368,112890,63.45
26,MADIPUR,SC,177913,4,NOTA,,,NOTA,NOTA,773,5,778,0.69,0.44,112522,368,112890,63.45
26,MADIPUR,SC,177913,5,ROOP SINGH AHIRWAR,MALE,58,SC,BSP,Elephant,319,2,321,0.28,0.18,112522,368,112890,63.45
26,MADIPUR,SC,177913,6,DHARAMVEER,MALE,31,SC,IND,Coat,206,0,206,0.18,0.12,112522,368,112890,63.45
26,MADIPUR,SC,177913,7,RANDHIR SINGH TANDI,MALE,37,SC,JMBP,Flute,204,0,204,0.18,0.11,112522,368,112890,63.45
26,MADIPUR,SC,177913,8,RAVI,MALE,37,SC,IND,Bucket,113,0,113,0.1,0.06,112522,368,112890,63.45
26,MADIPUR,SC,177913,9,ROHIT KASHYAP,MALE,32,SC,HSVP,Binoculars,105,0,105,0.09,0.06,112522,368,112890,63.45
26,MADIPUR,SC,177913,10,RANDHIR KUMAR,MALE,49,SC,ASSP,Gas cylinder,66,0,66,0.06,0.04,112522,368,112890,63.45
27,RAJOURI GARDEN,GENERAL,181549,1,MANJINDER SINGH SIRSA,MALE,52,GENERAL,BJP,Lotus,63883,249,64132,55.86,35.32,114415,391,114806,63.24
27,RAJOURI GARDEN,GENERAL,181549,2,A DHANWATI CHANDELA A,FEMALE,65,GENERAL,AAAP,Broom,45835,107,45942,40.02,25.31,114415,391,114806,63.24
27,RAJOURI GARDEN,GENERAL,181549,3,DHARAM PAL CHANDELA,MALE,70,GENERAL,INC,Hand,3171,27,3198,2.79,1.76,114415,391,114806,63.24
27,RAJOURI GARDEN,GENERAL,181549,4,NOTA,,,NOTA,NOTA,778,5,783,0.68,0.43,114415,391,114806,63.24
27,RAJOURI GARDEN,GENERAL,181549,5,SHASHI PABHA,FEMALE,33,GENERAL,BSP,Elephant,286,2,288,0.25,0.16,114415,391,114806,63.24
27,RAJOURI GARDEN,GENERAL,181549,6,KARAN TALWAR,MALE,34,GENERAL,AADMPRVTNP,Battery Torch,225,0,225,0.2,0.12,114415,391,114806,63.24
27,RAJOURI GARDEN,GENERAL,181549,7,JAYA RAMAN,MALE,62,GENERAL,SJVP,Water melon,89,0,89,0.08,0.05,114415,391,114806,63.24
27,RAJOURI GARDEN,GENERAL,181549,8,VISHAL SANGWAN,MALE,27,GENERAL,RTORP,Pressure cooker,84,0,84,0.07,0.05,114415,391,114806,63.24
27,RAJOURI GARDEN,GENERAL,181549,9,KAMLA DEVI,FEMALE,59,GENERAL,AAPP,Kettle,64,1,65,0.06,0.04,114415,391,114806,63.24
28,HARI NAGAR,GENERAL,169464,1,SHYAM SHARMA,MALE,60,GENERAL,BJP,Lotus,49608,571,50179,48.7,29.61,102062,978,103040,60.8
28,HARI NAGAR,GENERAL,169464,2,SURINDER KUMAR SETIA,MALE,66,GENERAL,AAAP,Broom,43262,285,43547,42.26,25.7,102062,978,103040,60.8
28,HARI NAGAR,GENERAL,169464,3,PREM BALLABH,MALE,54,GENERAL,INC,Hand,4175,77,4252,4.13,2.51,102062,978,103040,60.8
28,HARI NAGAR,GENERAL,169464,4,RAJ KUMARI DHILLON,FEMALE,62,GENERAL,IND,Bat,3367,31,3398,3.3,2.01,102062,978,103040,60.8
28,HARI NAGAR,GENERAL,169464,5,NOTA,,,NOTA,NOTA,705,8,713,0.69,0.42,102062,978,103040,60.8
28,HARI NAGAR,GENERAL,169464,6,BINDU KUMAR,MALE,61,SC,BSP,Elephant,566,3,569,0.55,0.34,102062,978,103040,60.8
28,HARI NAGAR,GENERAL,169464,7,MAYANK MEHTA,MALE,26,GENERAL,IND,Ice cream,98,0,98,0.1,0.06,102062,978,103040,60.8
28,HARI NAGAR,GENERAL,169464,8,SABIR KHAN,MALE,49,GENERAL,IND,Battery Torch,89,2,91,0.09,0.05,102062,978,103040,60.8
28,HARI NAGAR,GENERAL,169464,9,MOHAN LAL BHARDWAJ,MALE,60,GENERAL,BHRJWNKP,Matchbox,83,0,83,0.08,0.05,102062,978,103040,60.8
28,HARI NAGAR,GENERAL,169464,10,PREETAM CHAND,MALE,32,GENERAL,RJSPS,Chakki,81,0,81,0.08,0.05,102062,978,103040,60.8
28,HARI NAGAR,GENERAL,169464,11,ASHOK KUMAR,MALE,75,GENERAL,IND,"Basket containing Fruits",28,1,29,0.03,0.02,102062,978,103040,60.8
29,TILAK NAGAR,GENERAL,160038,1,JARNAIL SINGH,MALE,43,GENERAL,AAAP,Broom,51955,179,52134,54.02,32.58,96036,467,96503,60.3
29,TILAK NAGAR,GENERAL,160038,2,SHVETA SAINI,FEMALE,48,GENERAL,BJP,Lotus,40233,245,40478,41.94,25.29,96036,467,96503,60.3
29,TILAK NAGAR,GENERAL,160038,3,PARVINDER SINGH ALIAS P S BAWA,MALE,67,GENERAL,INC,Hand,2716,31,2747,2.85,1.72,96036,467,96503,60.3
29,TILAK NAGAR,GENERAL,160038,4,NOTA,,,NOTA,NOTA,600,7,607,0.63,0.38,96036,467,96503,60.3
29,TILAK NAGAR,GENERAL,160038,5,ASHOK KUMAR GAUTAM,MALE,45,GENERAL,BSP,Elephant,296,5,301,0.31,0.19,96036,467,96503,60.3
29,TILAK NAGAR,GENERAL,160038,6,SHWETA,FEMALE,28,GENERAL,IND,Diamond,145,0,145,0.15,0.09,96036,467,96503,60.3
29,TILAK NAGAR,GENERAL,160038,7,RAJIV KUMAR BABBAR,MALE,35,GENERAL,IND,Cauliflower,91,0,91,0.09,0.06,96036,467,96503,60.3
30,JANAKPURI,GENERAL,198396,1,ASHISH SOOD,MALE,58,GENERAL,BJP,Lotus,68564,422,68986,55.27,34.77,124168,651,124819,62.91
30,JANAKPURI,GENERAL,198396,2,PARVEEN KUMAR,MALE,37,GENERAL,AAAP,Broom,50045,175,50220,40.23,25.31,124168,651,124819,62.91
30,JANAKPURI,GENERAL,198396,3,HARBANI KAUR,FEMALE,33,GENERAL,INC,Hand,3305,40,3345,2.68,1.69,124168,651,124819,62.91
30,JANAKPURI,GENERAL,198396,4,NOTA,,,NOTA,NOTA,684,7,691,0.55,0.35,124168,651,124819,62.91
30,JANAKPURI,GENERAL,198396,5,RAVI PARTAP RAO,MALE,45,SC,BSP,Elephant,458,3,461,0.37,0.23,124168,651,124819,62.91
30,JANAKPURI,GENERAL,198396,6,PRAVEEN KUMAR,MALE,43,GENERAL,IND,Flute,210,0,210,0.17,0.11,124168,651,124819,62.91
30,JANAKPURI,GENERAL,198396,7,PRAVEEN KUMAR,MALE,63,GENERAL,IND,Brush,193,0,193,0.15,0.1,124168,651,124819,62.91
30,JANAKPURI,GENERAL,198396,8,ALTAF AHMAD,MALE,44,GENERAL,IND,Tooth brush,182,1,183,0.15,0.09,124168,651,124819,62.91
30,JANAKPURI,GENERAL,198396,9,MOHD OJER,MALE,53,GENERAL,AAS,Battery Torch,91,0,91,0.07,0.05,124168,651,124819,62.91
30,JANAKPURI,GENERAL,198396,10,MD NAVEEN,MALE,51,GENERAL,NCP,Clock,80,0,80,0.06,0.04,124168,651,124819,62.91
30,JANAKPURI,GENERAL,198396,11,CHAMAN LAL VERMA,MALE,72,GENERAL,AJPty,CCTV Camera,69,1,70,0.06,0.04,124168,651,124819,62.91
